,year_graduated,gender,marital_status,diploma_type,defaulted,salary,fee,savings
0,2004,Male,Single,Standard Diploma,Yes,125000,10869,86000.0
1,2005,Male,Married,College Prep Diploma,No,100000,10869,116000.0
2,2006,Female,Single,Standard Diploma,Yes,70000,10869,52000.0
3,2007,Male,Married,Standard Diploma,No,120000,10869,76000.0
4,2006,Female,Divorced,Standard Diploma,Yes,95000,11948,52000.0
5,2007,Female,Married,College Prep Diploma,No,60000,11948,67000.0
6,2006,Male,Divorced,Standard Diploma,No,160000,11724,120000.0
7,2006,Female,Single,College Prep Diploma,Yes,85000,11724,82000.0
8,2007,Male,Married,Standard Diploma,No,75000,11724,86000.0
9,2005,Female,Single,Standard Diploma,Yes,90000,12717,30000.0
10,2006,Female,Single,Standard Diploma,Yes,95000,12717,16000.0
11,2007,Female,Married,Standard Diploma,No,40000,12717,52000.0
12,2007,Male,Single,Standard Diploma,Yes,110000,12717,120000.0
13,2007,Male,Married,College Prep Diploma,Yes,85000,12055,32000.0
14,2008,Female,Divorced,Standard Diploma,No,75000,12055,67000.0
15,2009,Male,Married,College Prep Diploma,Yes,90000,12055,40000.0
16,2004,Male,Divorced,Standard Diploma,Yes,95000,10960,6000.0
17,2005,Female,Single,Standard Diploma,Yes,60000,10960,36000.0
18,2006,Male,Married,Standard Diploma,No,140000,20960,72000.0
19,2007,Female,Single,Standard Diploma,Yes,85000,10960,46000.0
20,2008,Male,Single,Standard Diploma,Yes,75000,10960,32000.0
21,2004,Male,Married,Standard Diploma,Yes,90000,11691,67000.0
22,2005,Female,Single,Standard Diploma,Yes,35000,11691,40000.0
23,2006,Male,Married,College Prep Diploma,No,75000,11691,82000.0
24,2007,Female,Divorced,Standard Diploma,No,110000,11691,146000.0
25,2004,Male,Married,Standard Diploma,Yes,75000,11326,57000.0
26,2005,Female,Divorced,College Prep Diploma,No,90000,11326,64000.0
27,2006,Male,Single,Standard Diploma,Yes,85000,11326,52000.0
28,2007,Male,Married,Standard Diploma,Yes,75000,11326,46000.0
29,2004,Male,Single,Standard Diploma,Yes,110000,10962,52000.0
30,2005,Male,Single,Standard Diploma,No,60000,10962,57000.0
31,2006,Male,Married,Standard Diploma,Yes,120000,10962,60000.0
32,2007,Female,Divorced,Standard Diploma,No,85000,10962,12000.0
33,2008,Male,Married,Standard Diploma,Yes,75000,10962,16000.0
34,2008,Female,Divorced,Standard Diploma,No,90000,11692,37000.0
35,2008,Male,Single,Standard Diploma,Yes,65000,12058,26000.0
36,2009,Male,Married,College Prep Diploma,Yes,75000,12058,52000.0
37,2008,Female,Single,Standard Diploma,No,110000,12059,46000.0
38,2009,Male,Single,College Prep Diploma,Yes,75000,12059,32000.0
39,2004,Female,Married,College Prep Diploma,Yes,90000,11693,67000.0
40,2005,Female,Single,Standard Diploma,Yes,65000,11693,10000.0
41,2006,Male,Married,Standard Diploma,No,75000,11693,6000.0
42,2007,Female,Divorced,Standard Diploma,Yes,60000,11693,16000.0
43,2008,Male,Married,College Prep Diploma,No,160000,11693,62000.0
44,2009,Male,Divorced,Standard Diploma,Yes,85000,11693,46000.0
45,2005,Female,Single,College Prep Diploma,Yes,75000,10963,32000.0
46,2006,Male,Married,Standard Diploma,No,90000,10963,67000.0
47,2007,Female,Single,Standard Diploma,Yes,65000,10964,10000.0
